,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,L_CSF,ant_Corpus_Callosm,post_Corpus_Callosm
count,81.0,64.0,81.0,64.0,78.0,70.0,16.0,20.0,16.0,20.0
mean,29.08346939086914,34.257381439208984,37.083065032958984,33.373321533203125,36.31640625,39.59099578857422,21.493257522583008,24.6585636138916,36.752410888671875,27.598194122314453
std,5.092387676239014,3.5207700729370117,7.948474884033203,6.904214382171631,3.741755723953247,5.798142910003662,3.169788360595703,7.267852783203125,5.807839870452881,1.5194568634033203
min,21.59423828125,27.603727340698242,26.99435806274414,19.106355667114258,25.88559913635254,29.39430809020996,16.745849609375,15.27346420288086,25.221736907958984,25.033550262451172
25%,25.08260154724121,32.18469429016113,31.410465240478516,28.66021490097046,34.4890775680542,34.94266891479492,19.16147232055664,19.246238708496094,33.83208179473877,26.82766103744507
50%,27.934890747070312,33.68894386291504,34.907344818115234,34.00591468811035,37.12993621826172,38.775489807128906,21.662826538085938,23.26822853088379,36.5173454284668,27.28090190887451
75%,33.14582443237305,35.69748783111572,39.39205551147461,39.16300296783447,38.62604999542236,43.34690284729004,22.982618808746338,28.15587329864502,41.34544658660889,28.567511558532715
max,39.32643127441406,44.7921142578125,68.14610290527344,44.26219940185547,45.28712844848633,53.72856521606445,27.452407836914062,40.81255340576172,45.27823257446289,31.11273956298828
