,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,L_CSF,ant_Corpus_Callosm,post_Corpus_Callosm
count,81.0,64.0,81.0,64.0,78.0,70.0,16.0,20.0,16.0,20.0
mean,26.095325469970703,26.0419921875,30.755475997924805,28.568124771118164,29.6624698638916,33.90488052368164,16.001373291015625,21.169694900512695,30.730119705200195,23.50937271118164
std,5.302829742431641,4.567502975463867,6.17741584777832,4.833585739135742,4.573616981506348,5.585923671722412,2.3546690940856934,5.121348857879639,4.19018030166626,3.215169906616211
min,18.600738525390625,15.944952964782715,19.014402389526367,17.57761573791504,19.64869499206543,23.574182510375977,11.680460929870605,13.72696590423584,24.090368270874023,18.417617797851562
25%,21.856483459472656,23.08541202545166,25.539648056030273,25.4542498588562,26.57283639907837,30.106421947479248,14.477338075637817,16.767369031906128,28.770079612731934,21.031904220581055
50%,24.68140411376953,25.845152854919434,30.138591766357422,28.664384841918945,29.254231452941895,33.97182846069336,16.398005485534668,21.185213088989258,30.344738960266113,23.353163719177246
75%,29.76256561279297,29.07804012298584,34.71017074584961,31.779040813446045,32.39205503463745,38.34920597076416,17.89629602432251,25.55586338043213,34.08788871765137,25.422144889831543
max,39.072574615478516,39.79856491088867,46.72280502319336,38.05087661743164,40.76042556762695,45.025733947753906,19.43020248413086,29.826757431030273,38.94351577758789,29.735837936401367
