,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,Corpus_Callosm
count,81.0,64.0,81.0,64.0,78.0,70.0,16.0,18.0
mean,98.53287506103516,95.76249694824219,104.84597778320312,119.98967742919922,101.30716705322266,105.85277557373047,67.79148864746094,76.57986450195312
std,14.583369255065918,20.294231414794922,18.106266021728516,17.445335388183594,19.51106071472168,12.254043579101562,3.6851813793182373,10.44515323638916
min,70.11931610107422,54.48863220214844,77.14210510253906,72.05028533935547,65.94770812988281,78.76709747314453,62.791656494140625,55.88447570800781
25%,88.35025787353516,80.18012809753418,90.9344711303711,108.01424789428711,87.99678039550781,97.87259483337402,64.01261711120605,70.7758960723877
50%,97.08872985839844,91.99229049682617,100.29733276367188,120.30102157592773,98.76731872558594,106.65667724609375,69.07990646362305,75.25985336303711
75%,108.7371826171875,113.04772758483887,114.89701843261719,130.89443969726562,118.69742774963379,114.17733001708984,70.80710792541504,82.57604026794434
max,130.6761474609375,139.55125427246094,156.80096435546875,158.9297637939453,140.2148895263672,129.2512664794922,73.06656646728516,94.91886138916016
