,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,Corpus_Callosm
count,81.0,64.0,81.0,64.0,78.0,70.0,16.0,18.0
mean,100.49011993408203,112.15563201904297,106.12870025634766,137.5801544189453,120.99212646484375,127.16192626953125,80.84920501708984,80.00704956054688
std,14.908855438232422,15.336651802062988,13.620248794555664,19.957630157470703,18.26824188232422,13.752897262573242,7.452064037322998,8.579046249389648
min,61.33245849609375,80.01091003417969,81.01983642578125,85.29414367675781,87.13259887695312,100.81561279296875,63.256752014160156,67.59172821044922
25%,92.6357650756836,103.53577041625977,95.7793960571289,128.1325225830078,110.09293365478516,117.60677337646484,78.23826599121094,72.2559642791748
50%,102.10760498046875,111.487060546875,102.36149597167969,141.4283905029297,116.07428741455078,125.26969146728516,82.1624755859375,82.4510269165039
75%,110.8741455078125,122.0908031463623,115.09858703613281,153.1229133605957,131.49693298339844,136.23471450805664,86.15167808532715,84.16007041931152
max,132.61520385742188,155.5757598876953,135.33457946777344,175.1099853515625,171.3204345703125,158.46678161621094,91.77899169921875,95.94481658935547
