,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,Corpus_Callosm
count,81.0,64.0,81.0,64.0,78.0,70.0,16.0,18.0
mean,0.5189086192063544,0.5535775845751194,0.4553610072886304,0.5408881799151274,0.3547035288068249,0.4346712022824577,0.5051808500441605,0.3476043995476019
std,0.25666667620757466,0.18555077378307142,0.18646541056689483,0.17526225867436726,0.09611616083612907,0.05093425893111839,0.3573283798662811,0.15320267188038283
min,0.0,0.056488616480550036,0.0,0.2980327494000764,0.10791161096794592,0.3307245151202362,0.032223233804997385,0.0876787194627738
25%,0.4025442685396433,0.4418337635860878,0.40571918811719465,0.4215013125092726,0.2885776276274438,0.40111036688807267,0.14752693041182463,0.20347142694666318
50%,0.48191294547644076,0.5049541090343936,0.47065402748146823,0.4833484307194654,0.3416778693494733,0.43878806940699866,0.4869484805241148,0.36205392979660966
75%,0.6883351408424601,0.5984287929817229,0.5253979348048594,0.5838068066435795,0.42187971987346984,0.4637862502209881,0.8260159067401561,0.4895190636611345
max,1.0,1.0,1.0,1.0,0.6327270427821771,0.5508266123736775,0.9810560317496909,0.5811780681684325
