,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,Corpus_Callosm
0,77.244484,125.941124,79.35026,117.53532,89.71714,86.15055,71.35224,55.884476
1,89.48853,119.56177,96.12252,111.557785,84.38526,86.625786,71.02684,71.59438
2,98.612366,116.681984,123.0039,135.19817,95.62705,109.07609,66.74397,70.50307
3,78.77275,110.57771,80.89256,141.26132,90.995514,111.35756,69.34509,82.809105
4,92.95502,102.29097,90.93447,151.2367,90.532425,78.7671,70.733864,68.184654
5,100.97303,117.20804,106.82813,158.92976,92.17868,80.73347,70.53943,61.961422
6,76.68187,119.008,95.72873,124.682884,90.58152,85.30893,73.06657,84.99569
7,83.31265,122.869225,100.59895,129.0422,87.92126,80.872574,70.07049,73.08057
8,96.06354,106.97829,103.177124,136.41487,82.87597,85.97529,62.829006,73.603836
9,85.78076,123.792984,114.455414,143.75218,86.27081,97.1369,71.69845,90.85769
10,75.760185,139.55125,139.82037,108.334785,79.010445,92.960884,68.81472,78.35676
11,88.35026,87.89221,156.80096,113.90039,72.358505,102.65709,62.791656,81.87685
12,81.475784,112.51076,81.64424,116.47525,100.93589,105.24739,64.83775,92.63212
13,81.16236,127.30698,104.291245,123.78476,104.225716,98.36286,63.12083,66.54713
14,77.12768,90.31102,127.78569,129.88748,96.91127,97.851944,63.51429,73.836266
15,88.8495,85.78367,143.13196,142.21277,91.26062,115.89961,64.17873,76.68344
16,102.8398,81.309135,145.09738,120.43086,127.35492,117.73133,,94.91886
17,81.55752,73.152916,82.969864,131.53755,125.75587,101.830055,,80.11118
18,86.54449,80.29353,96.90847,149.11905,122.87615,96.787605,,
19,89.62152,88.37863,112.29946,149.32149,124.08598,92.78732,,
20,100.268074,92.770584,123.08185,121.35638,89.58169,98.71045,,
21,106.5641,94.89884,122.12949,119.70313,88.22335,114.022934,,
22,88.87299,98.811,91.95416,130.15659,73.02367,97.78401,,
23,93.82552,73.05318,99.032616,146.1043,78.32777,93.36666,,
24,96.79423,90.629005,106.01009,144.40285,72.70736,99.04201,,
25,108.46484,110.83532,107.144226,130.81628,66.09484,112.923836,,
26,112.24197,123.80935,103.16451,113.58897,77.95064,119.84924,,
27,94.75315,124.71433,99.36668,126.99602,81.94513,105.293915,,
28,90.49981,90.83352,99.37562,135.07706,74.28378,110.47671,,
29,100.15623,117.14498,95.149994,129.8072,68.128845,111.12637,,
30,90.00829,128.41277,114.89702,118.75889,80.135796,107.67485,,
31,70.119316,113.83192,136.00528,125.49546,99.76142,106.72098,,
32,84.636024,82.19985,143.28958,121.95626,100.86949,104.96768,,
33,90.99826,72.9012,90.34038,132.706,94.10923,119.846985,,
34,83.33454,64.30428,114.004,106.83256,91.908714,121.56099,,
35,74.175865,54.488632,135.70564,117.28848,107.27574,109.74219,,
36,91.55923,69.89157,141.28358,131.1289,122.9722,112.69664,,
37,111.8188,72.397026,135.60085,120.17118,122.735596,117.751076,,
38,88.3106,71.104385,88.50032,113.947105,118.68711,104.448105,,
39,88.90571,71.892235,106.276306,109.93408,119.9228,110.645355,,
40,93.95757,89.06085,123.24277,118.96374,136.47618,118.14326,,
41,108.97711,70.69317,128.70235,132.48495,137.98592,104.82489,,
42,117.97406,82.0566,118.034805,122.31385,85.47513,110.482216,,
43,92.90275,95.043175,87.02026,104.82624,91.1632,111.64307,,
44,98.80233,103.81619,97.19341,109.70672,65.94771,110.40269,,
45,108.73718,117.58387,107.57688,121.98992,83.67943,111.32112,,
46,120.477165,91.214,108.90175,130.16095,91.26523,114.038536,,
47,122.00136,109.59221,97.904,120.02586,92.00527,124.759346,,
48,105.54096,116.61906,88.66186,115.92204,77.62839,120.43542,,
49,107.80403,112.78633,90.07342,124.70096,90.05032,107.36026,,
50,113.76726,79.83991,88.63384,99.73115,96.23351,104.56496,,
51,98.26603,67.22013,97.60162,104.31744,100.27586,114.223595,,
52,79.86442,64.48251,106.89998,107.052635,109.5888,129.25127,,
53,93.94499,77.03636,111.08237,92.677,97.82844,128.46701,,
54,97.98382,67.41286,92.32733,98.00397,99.7062,115.689476,,
55,88.667,77.68496,103.61503,101.03493,103.02181,118.66688,,
56,86.37308,85.960106,116.33479,104.438614,112.818275,125.56867,,
57,105.88323,88.42787,120.55401,90.93475,130.53499,97.93455,,
58,123.950966,102.98187,119.939064,94.88171,112.993065,91.98855,,
59,87.59926,89.50888,90.68039,100.46751,113.56238,102.02541,,
60,89.15939,100.559715,100.29733,104.741165,116.041275,97.04295,,
61,104.88541,112.75794,110.63136,96.58977,125.47145,83.83657,,
62,122.731155,80.76439,115.920265,80.479774,127.575455,101.25078,,
63,130.67615,95.37368,108.66548,72.050285,130.92062,115.04113,,
64,87.05316,,86.14285,,95.72998,106.59238,,
65,97.08873,,90.92581,,115.862526,86.6282,,
66,117.872696,,95.35186,,128.76129,106.36104,,
67,126.69579,,97.37792,,85.91937,123.631485,,
68,125.586586,,88.83193,,101.90307,120.43556,,
69,101.88581,,83.78029,,118.83228,104.31167,,
70,114.94502,,81.19709,,134.11703,,,
71,115.17589,,78.21437,,100.03913,,,
72,98.85797,,93.36335,,103.93894,,,
73,102.98447,,96.713615,,118.70087,,,
74,115.07405,,101.4939,,140.21489,,,
75,97.84774,,93.82359,,107.09104,,,
76,115.15438,,94.15939,,119.592,,,
77,126.14,,97.706375,,138.50172,,,
78,101.60787,,89.6157,,,,,
79,118.27346,,82.03613,,,,,
80,118.51101,,77.142105,,,,,
