,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,Corpus_Callosm
0,0.628097910963441,0.3740253219441499,0.022363287577266786,0.4532396438008154,0.3362747359756914,0.5088277672807545,0.7359502476314841,0.19875548770346405
1,0.6074251078825428,0.056488616480550036,0.5317257612262072,0.5211528114177166,0.3666941745867246,0.49790410321686157,0.3710481894433041,0.18030079729968806
2,0.8843049884473259,0.7462010725429471,0.3983852230184081,0.3845830728010062,0.42926871155424573,0.5508266123736775,0.032223233804997385,0.3276840625103466
3,0.07990863251482698,0.9745847012335879,0.6030612183813975,0.48821674674185045,0.28779790416545403,0.4640179373729557,0.6835071703265073,0.43259311488798924
4,0.21746919916099433,0.48875637112245907,0.3811026716751105,0.4470450624900151,0.1899828184416335,0.41472454276559634,0.13612609966888425,0.0876787194627738
5,1.0,0.4938181136912847,0.36408219643302964,0.4051845758078296,0.4556793175388484,0.5381221249690787,0.7943860911880348,0.24103104363222416
6,0.0029609057031239386,1.0,1.0,0.4199510701716455,0.4803162554511245,0.41779519362557693,0.27120474508380543,0.5130929813052996
7,0.0,0.7012170946638129,0.4159129547452534,0.4360327954437529,0.4481539150060286,0.4688547897634302,0.9810560317496909,0.19920182234436332
8,0.0,0.38089791232760567,0.3554324966301655,0.4826882563469124,0.32196528411142805,0.5278989605301,0.0725560852227248,0.38106758619471387
9,0.5852375839435792,0.8223918061218735,0.0,0.42162796368354055,0.3495035371864984,0.4573888378177235,0.9209053533965199,0.4963815570639502
10,0.4111440330802704,0.9794780053751505,0.722036854655131,0.43897658275647133,0.39275822371588237,0.4063856681484061,0.15132720732613808,0.3925092087034855
11,0.41794913553221225,0.5618291325665242,0.49175789090589334,0.45144752240242675,0.3571457134968195,0.43856332768713335,0.9567012855792807,0.4956994886820519
12,0.8117327940731165,0.5023231270895323,0.0,0.537805433926138,0.5076518412117725,0.4469900396950442,0.6028487716049256,0.5811780681684325
13,0.4972756843819092,0.3884158760771752,0.1385078143188253,0.5054815851347496,0.5331707007004841,0.4617844526818881,0.9552709014911214,0.21628024075356278
14,0.4219198240454684,0.4094542292546776,0.6167325817401955,0.512692009251572,0.33683913688248335,0.41833827637247795,0.1357277841307967,0.15139032389774115
15,0.8870225648528826,0.44045240673705277,0.5258485288457937,0.37912354068647974,0.18893747209096284,0.43901281112686397,0.28205440305835217,0.3430402733985055
16,0.7726947427401027,0.4561329802235231,0.41301753081242787,0.3373491059058491,0.36338806340043145,0.4665308006621712,,0.5480166272498596
17,0.8784656879637969,0.46949225202826256,0.1890820558132253,0.4448435025795518,0.30499662817143786,0.47152194919695417,,0.4709777885983824
18,0.7197233175114643,0.5310189971407104,0.9422156369458609,0.41299370633794585,0.27353673732894473,0.34730793082687367,,
19,0.893473877071914,0.5291804094331747,0.507054629287092,0.4112873226921572,0.23221133497376073,0.3560814503194262,,
20,0.956246028498711,0.6672492551130095,0.5657031825651135,0.4211213589864687,0.5090380293999585,0.4523942715614483,,
21,0.6899814714537598,0.5269125625443661,0.3902696922923317,0.3405237622159554,0.511917976686638,0.4379853406508146,,
22,0.08378078884139942,0.4413142779993932,0.6269611658498804,0.4742233469074678,0.10791161096794592,0.3773364678722959,,
23,0.08860852428721173,0.44502150902238047,0.7813946178422235,0.44733956216852105,0.35867160989377483,0.3955564139688744,,
24,1.0,0.7186449675016515,0.6448501795425444,0.5083096642744388,0.44275023286279297,0.4536859020252478,,
