,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,L_CSF,ant_Corpus_Callosm,post_Corpus_Callosm
count,81.0,64.0,81.0,64.0,78.0,70.0,16.0,20.0,16.0,20.0
mean,98.1030044555664,96.37435913085938,103.19337463378906,110.57681274414062,114.15646362304688,131.2077178955078,62.09214782714844,82.04237365722656,118.91566467285156,90.53733825683594
std,25.853181838989258,19.433021545410156,37.069766998291016,18.8049373626709,18.044544219970703,21.632139205932617,9.095209121704102,19.453432083129883,16.59209632873535,12.929364204406738
min,24.353548049926758,32.86919021606445,0.0,67.60140228271484,76.52120971679688,90.25333404541016,45.778987884521484,54.637569427490234,92.80532836914062,70.13247680664062
25%,84.46427917480469,85.08479118347168,93.46844482421875,98.85901069641113,102.36233520507812,117.0620346069336,56.29446220397949,65.36175346374512,110.40374755859375,80.82092666625977
50%,97.20916748046875,96.62163162231445,106.40645599365234,109.72286605834961,112.8303337097168,131.1941146850586,63.25999069213867,82.70535659790039,117.72071075439453,90.05598831176758
75%,113.3923568725586,110.28707122802734,122.83052825927734,123.34952735900879,125.48782920837402,148.83296585083008,69.82851982116699,98.31795120239258,132.2647705078125,98.57623291015625
max,149.75563049316406,141.0753631591797,187.4477081298828,147.688232421875,160.2239227294922,173.45883178710938,75.09813690185547,113.23474884033203,152.13075256347656,114.999267578125
