,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,L_CSF,ant_Corpus_Callosm,post_Corpus_Callosm
count,81.0,64.0,81.0,64.0,78.0,70.0,16.0,20.0,16.0,20.0
mean,95.66679382324219,112.88951110839844,122.85140228271484,109.95332336425781,120.54371643066406,130.42974853515625,70.53187561035156,80.95341491699219,120.99980926513672,91.29271697998047
std,17.03550910949707,11.48561954498291,28.33934783935547,22.97860336303711,13.571891784667969,19.07992935180664,10.598142623901367,23.979021072387695,19.381826400756836,4.4441819190979
min,66.69738006591797,90.9324951171875,88.36841583251953,61.392208099365234,85.5418472290039,96.58626556396484,54.879276275634766,50.453460693359375,82.39944458007812,83.99955749511719
25%,82.87117767333984,106.29032135009766,104.01359558105469,93.40546989440918,112.50798225402832,115.33643913269043,61.91391658782959,62.61303234100342,111.30427742004395,89.09776878356934
50%,93.02924346923828,110.7528076171875,114.00731658935547,113.6477279663086,121.33465576171875,127.79410171508789,70.9030876159668,76.15438079833984,120.99804306030273,90.99304580688477
75%,108.89116668701172,118.12699317932129,129.5377655029297,130.30385208129883,129.17876434326172,140.85841369628906,76.19967460632324,91.81602096557617,135.81149291992188,93.61371421813965
max,129.0572052001953,141.83802795410156,223.81668090820312,145.4327392578125,149.48703002929688,176.8644256591797,89.62577819824219,135.92079162597656,149.0306854248047,101.6294937133789
